,Popular_cast,director_name,keywords,movie_genre,movie_id,overview,release_date,title
2125,"['Tom Selleck' 'Pat Morita' 'Charlton Heston' 'James Coburn'
 'Robert Wagner']",['Jack Smight'],"['world war ii' 'u.s. navy' 'battle of midway' 'soldier' 'american'
 'pacific theater' '1940s']",['Action' 'Drama' 'History' 'War'],11422.0,"This war drama depicts the U.S. and Japanese forces in the naval Battle of Midway, which became a turning point for Americans during World War II.",1976-06-18,Midway
2126,"['Olivia Taylor Dudley' 'Chloe Csengery' 'Mark Steger' 'Cara Pifko'
 'Don McManus']",['Gregory Plotkin'],['supernatural' 'sequel' 'demon' 'found footage'],['Horror' 'Thriller'],146301.0,"Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.",2015-10-21,Paranormal Activity: The Ghost Dimension
2127,"['Viggo Mortensen' 'Jason Beghe' 'Demi Moore' 'Jim Caviezel'
 'Anne Bancroft']",['Ridley Scott'],"['poem' 'middle east' 'helicopter' 'satellite' 'navy' 'sexism' 'army'
 'sexual harassment' 'u.s. navy seal' 'feminist' 'soldier' 'commando'
 'mental health' 'drill instructor' 'military' 'us military' 'army base'
 'reconnaissance' 'sexual discrimination']",['Action' 'Drama'],4421.0,"In response to political pressure from Senator Lillian DeHaven, the U.S. Navy begins a program that would allow for the eventual integration of women into its services. The program begins with a single trial candidate, Lieutenant Jordan O'Neil, who is chosen specifically for her femininity. O'Neil enters the grueling training program under the command of John James Urgayle, who unfairly pushes O'Neil until her determination wins his respect.",1997-08-19,G.I. Jane
2128,"['Nicolas Cage' 'Thomas Jane' 'Gina Gershon' 'Tommy Flanagan'
 'John Travolta']",['John Woo'],"['undercover' 'mexican standoff' 'fbi' 'biological weapon'
 'face transplant' 'rage and hate' 'fistfight' 'hostility' 'revenge'
 'deception' 'prison escape' 'flashback' 'organized crime' 'tragedy'
 'shootout' 'hospital' 'boat chase' 'los angeles, california' 'explosion'
 'criminal gang' 'golden gun' 'arch villain' 'bullet ballet']",['Action' 'Crime' 'Science Fiction' 'Thriller'],754.0,"Sean Archer, a very tough, rugged FBI Agent. Who is still grieving for his dead son Michael. Archer believes that his son's killer is his sworn enemy, a very powerful criminal, Castor Troy. One day, Archer has finally cornered Castor, however, their fight has knocked out Troy cold. As Archer finally breathes easy over the capture of his enemy, he finds out that Troy has planted a bomb that will destroy the entire city of Los Angeles and all of its inhabitants. Unfortunately the only other person who knows its location is Castor's brother Pollux, and he refuses to talk. The solution, a special operation doctor that can cut off people's faces, and can place a person's face onto another person. Archer undergoes one of those surgeries to talk to Pollux. However, Castor Troy somehow regains consciousness and now wants revenge on Archer for taking his face. Not only is Troy ruining Archer's mission, but his personal life as well. Archer must stop Troy again. This time, it's personal.",1997-06-27,Face/Off
2129,"['Mark Hamill' 'Dee Bradley Baker' 'Grey DeLisle' 'Frank Welker'
 'Tom Kenny']",['Tom Warburton'],['zombie' 'troubled teen'],['Animation' 'Science Fiction' 'TV Movie'],205081.0,"The villains of the Kids Next Door, lead by Father, join forces to resurrect the Ultimate Evil, Grandfather, a tyrant who once ruled the world many years ago when most of the villains were themselves kids. However, Father disgraced him that he can't even try to destroy the KND and the Villains were quickly betrayed when they are turned into Senior Citizombies, creatures that are immortal and can transform any living creature into one of them and slaves who are forced to make Tapioca to refuel Grandfather so he can find and destroy the Book of K.N.D.",2006-08-10,Codename: Kids Next Door - Operation Z.E.R.O.
2130,"['Tom Holland' 'Bill Skarsgård' 'Sebastian Stan' 'Robert Pattinson'
 'Haley Bennett']",['Antonio Campos'],"['suicide' 'sheriff' 'based on novel or book' 'small town' 'gun' 'murder'
 'serial killer' 'photograph' 'church' 'gothic' 'madness'
 'post world war ii' 'reverend']",['Crime' 'Drama' 'Thriller'],499932.0,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.",2020-09-11,The Devil All the Time
2131,"['Rupert Friend' 'Jean Smart' 'Linda Cardellini' 'Blake Lively'
 ""Melissa O'Neil""]",['Paul Feig'],"['based on novel or book' 'small town' 'widow' 'female friendship'
 'life insurance' 'best friend' 'missing person' 'vlogger']",['Crime' 'Thriller' 'Mystery' 'Comedy'],484247.0,"Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.",2018-08-29,A Simple Favor
2132,"['Callan McAuliffe' 'Lorraine Nicholson' 'James Cade' 'Chantal Craig'
 'Daniel Eric Gold']",['Akan Satayev'],"['fbi' 'hacker' 'hustler' 'black market' 'based on true story'
 'identity theft' 'financial market' 'street-wise' 'trading']",['Crime' 'Drama' 'Thriller'],413052.0,"Alex, an immigrant from Ukraine comes to Canada and becomes involved with an online criminal organization called Darkweb. What starts off as a way to help his parents financially, soon becomes a personal vendetta against the entire banking system, when his mother is fired from her job at the bank",2016-09-15,Hacker
2133,['Ed Lauter' 'Dee Wallace' 'Billy Jayne' 'Mills Watson' 'Jerry Hardin'],['Lewis Teague'],"['based on novel or book' 'cadillac' 'animal attack' 'dam' 'corpse'
 'rabies' 'rabid dog' 'rabbit hole' 'trapped in car' 'mad dog'
 'animal horror' 'saint bernard dog']",['Horror' 'Thriller'],10489.0,"A friendly St. Bernard named ""Cujo"" contracts rabies and conducts a reign of terror on a small American town.",1983-08-10,Cujo
2134,"['Robbie Amell' 'Jordana Largy' 'Frank Welker' 'Garry Chalk'
 'Hayley Kiyoko']",['Brian Levant'],['friendship' 'mystery' 'spirit' 'dog' 'family'],['Mystery' 'Animation' 'Comedy' 'Fantasy'],22620.0,"Unjustly accused of staging a spooky practical joke complete with ghosts, Daphne, Velma, Fred and Shaggy are suspended from Coolsville High. To clear their names, they team up to solve the supernatural mystery…and head straight into nonstop laughs and adventure.",2009-09-12,Scooby-Doo! The Mystery Begins
